,SPY,AAPL,MSFT,AMZN,META,UNH,LLY,XOM,JPM,V,JNJ,PG,MA,MRK,COST,ADBE,PEP,KO
2017-01-03 00:00:00,200.6297607421875,27.059309005737305,57.25469970703125,37.68349838256836,116.86000061035156,146.1278076171875,65.5464096069336,65.69473266601562,71.64115142822266,75.95086669921875,96.779296875,69.92899322509766,101.20057678222656,46.70013427734375,140.83853149414062,103.4800033569336,86.18607330322266,33.705177307128906
2017-01-04 00:00:00,201.8232879638672,27.029020309448242,56.99852752685547,37.85900115966797,118.69000244140625,146.54409790039062,65.65186309814453,64.97195434570312,71.77328491210938,76.57186126708984,96.62054443359375,70.17813873291016,102.16085815429688,46.68459701538086,140.86505126953125,104.13999938964844,86.35077667236328,33.584228515625
2017-01-05 00:00:00,201.66293334960938,27.166473388671875,56.99852752685547,39.022499084472656,120.66999816894531,146.78851318359375,66.41626739501953,64.00340270996094,71.11262512207031,77.4698715209961,97.6314697265625,70.64320373535156,102.94989013671875,46.669071197509766,143.6424560546875,105.91000366210938,86.23548126220703,33.66485595703125
2017-01-06 00:00:00,202.3843994140625,27.469337463378906,57.49257278442383,39.79949951171875,123.41000366210938,146.99668884277344,66.48656463623047,63.96725845336914,71.12088775634766,78.53988647460938,97.16362762451172,70.6182861328125,103.69081115722656,46.79330062866211,143.5718994140625,108.30000305175781,86.11195373535156,33.656776428222656
2017-01-09 00:00:00,201.71636962890625,27.720943450927734,57.30959701538086,39.84600067138672,124.9000015258789,146.58035278320312,67.01375579833984,62.91197967529297,71.17042541503906,78.10041809082031,97.14690399169922,70.09507751464844,103.4887466430664,47.437705993652344,141.93190002441406,108.56999969482422,85.20600891113281,33.318115234375
2017-01-10 00:00:00,201.71636962890625,27.748891830444336,57.291297912597656,39.79499816894531,124.3499984741211,146.24545288085938,67.01375579833984,62.109683990478516,71.37686157226562,77.68006896972656,97.04666137695312,69.33931732177734,103.26741790771484,46.52156066894531,142.540283203125,108.26000213623047,83.9789047241211,33.092342376708984
2017-01-11 00:00:00,202.28646850585938,27.897994995117188,57.81279373168945,39.95100021362305,126.08999633789062,146.52601623535156,66.1263198852539,62.74574661254883,71.91368103027344,78.14818572998047,95.85194396972656,69.55522918701172,103.73892211914062,47.84919357299805,142.4344940185547,108.98999786376953,83.84713745117188,33.10041427612305
2017-01-12 00:00:00,201.7787322998047,27.78150749206543,57.28214645385742,40.68199920654297,126.62000274658203,146.95140075683594,67.7869644165039,62.406009674072266,71.21996307373047,77.73738098144531,95.76005554199219,69.6300048828125,104.60494232177734,48.29950714111328,142.72543334960938,108.58999633789062,83.87185668945312,33.019775390625
2017-01-13 00:00:00,202.24192810058594,27.732589721679688,57.36449432373047,40.856998443603516,128.33999633789062,146.44454956054688,68.0066146850586,62.41326141357422,71.59986114501953,77.54631805419922,95.74333190917969,69.77116394042969,104.59530639648438,48.40043640136719,142.71664428710938,108.52999877929688,83.63301086425781,32.96332931518555
2017-01-17 00:00:00,201.52932739257812,27.956239700317383,57.20895767211914,40.486000061035156,127.87000274658203,145.41273498535156,67.52334594726562,63.14328384399414,68.99846649169922,77.63231658935547,95.96891784667969,70.76779174804688,104.3066635131836,47.73274612426758,144.4359893798828,108.0,84.16010284423828,33.237483978271484
2017-01-18 00:00:00,201.9747314453125,27.953903198242188,57.18149948120117,40.374000549316406,127.91999816894531,142.76986694335938,68.12084197998047,62.36265182495117,69.3205337524414,77.94754791259766,95.82687377929688,71.09425354003906,104.55683898925781,47.49205017089844,144.84161376953125,108.79000091552734,84.61304473876953,33.29393768310547
2017-01-19 00:00:00,201.2265167236328,27.904979705810547,56.99852752685547,40.45199966430664,127.55000305175781,143.63876342773438,67.51458740234375,61.242332458496094,68.79203033447266,78.08130645751953,95.40916442871094,70.90170288085938,104.43174743652344,46.839881896972656,144.33900451660156,109.79000091552734,84.30010986328125,33.17298126220703
2017-01-20 00:00:00,201.96580505371094,27.956239700317383,57.401084899902344,40.416500091552734,127.04000091552734,143.60256958007812,67.48822021484375,62.08076095581055,69.09757995605469,78.18640899658203,95.36738586425781,73.2037353515625,105.80773162841797,48.547950744628906,144.81517028808594,110.70999908447266,85.02482604980469,33.318115234375
2017-01-23 00:00:00,201.44024658203125,27.974876403808594,57.60236740112305,40.89400100708008,128.92999267578125,143.9736328125,67.05768585205078,61.415794372558594,69.13064575195312,78.48255920410156,95.16687774658203,72.79354095458984,105.49019622802734,47.98894500732422,143.7305908203125,110.97000122070312,85.65897369384766,33.40681838989258
2017-01-24 00:00:00,202.7318572998047,27.949251174926758,58.11470413208008,41.12200164794922,129.3699951171875,145.20458984375,65.76608276367188,61.50252914428711,69.9647216796875,79.5143814086914,93.3706283569336,73.54692840576172,105.76924133300781,47.52311325073242,144.31253051757812,113.72000122070312,86.23548126220703,33.785797119140625
2017-01-25 00:00:00,204.48660278320312,28.394216537475586,58.26108932495117,41.82600021362305,131.47999572753906,145.937744140625,65.76608276367188,61.683231353759766,71.04654693603516,80.15444946289062,94.23953247070312,72.96098327636719,106.0290756225586,47.42219161987305,144.7269744873047,114.25,86.15312957763672,33.96318817138672
2017-01-26 00:00:00,204.27279663085938,28.40819549560547,58.80087661743164,41.95750045776367,132.77999877929688,147.30441284179688,65.52885437011719,61.871150970458984,71.6411361694336,79.5239028930664,93.43746948242188,72.4921875,105.2496566772461,47.515350341796875,144.66522216796875,112.87999725341797,85.76605224609375,33.71324157714844
